gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
979390359,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS238727105,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,NA,SPECIES,"Fratercula arctica (Linnaeus, 1758)",Fratercula arctica,,FR,Traversée maritime Le Conquet<->Ouessant,Bretagne,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,48.42066,-4.942903,NA,NA,NA,NA,NA,NA,2011-09-18,18,9,2011,2481353,2481353,HUMAN_OBSERVATION,CLO,EBIRD,OBS238727105,,,NA,CC_BY_4_0,,obsr115824,NA,NA,2025-10-08T14:33:54Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
959241808,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS204250669,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,NA,SPECIES,"Fratercula arctica (Linnaeus, 1758)",Fratercula arctica,,FR,RNN des Sept-Îles (Jentilez) (RNN32),Bretagne,PRESENT,20,e2e717bf-551a-4917-bdc9-4fa0f342c530,48.883034,-3.480477,NA,NA,NA,NA,NA,NA,2013-07-09,9,7,2013,2481353,2481353,HUMAN_OBSERVATION,CLO,EBIRD,OBS204250669,,,NA,CC_BY_4_0,,obsr244428,NA,NA,2025-10-08T14:33:40Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
959241772,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS204250727,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,NA,SPECIES,"Fratercula arctica (Linnaeus, 1758)",Fratercula arctica,,FR,RNN des Sept-Îles (Jentilez) (RNN32),Bretagne,PRESENT,20,e2e717bf-551a-4917-bdc9-4fa0f342c530,48.883034,-3.480477,NA,NA,NA,NA,NA,NA,2013-07-09,9,7,2013,2481353,2481353,HUMAN_OBSERVATION,CLO,EBIRD,OBS204250727,,,NA,CC_BY_4_0,,obsr307806,NA,NA,2025-10-08T14:32:03Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
588212246,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS96463254,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,NA,SPECIES,"Fratercula arctica (Linnaeus, 1758)",Fratercula arctica,,FR,RNN des Sept-Îles (Jentilez) (RNN32),Bretagne,PRESENT,10,e2e717bf-551a-4917-bdc9-4fa0f342c530,48.883034,-3.480477,NA,NA,NA,NA,NA,NA,2009-05-20,20,5,2009,2481353,2481353,HUMAN_OBSERVATION,CLO,EBIRD,OBS96463254,,,NA,CC_BY_4_0,,obsr44243,NA,NA,2025-10-08T14:36:47Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
587942147,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS103864933,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,NA,SPECIES,"Fratercula arctica (Linnaeus, 1758)",Fratercula arctica,,FR,Traversée maritime Le Conquet<->Ouessant,Bretagne,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,48.42066,-4.942903,NA,NA,NA,NA,NA,NA,2006-10-31,31,10,2006,2481353,2481353,HUMAN_OBSERVATION,CLO,EBIRD,OBS103864933,,,NA,CC_BY_4_0,,obsr163199,NA,NA,2025-10-08T14:34:39Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
587874276,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS96453222,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,NA,SPECIES,"Fratercula arctica (Linnaeus, 1758)",Fratercula arctica,,FR,Narbonne Plage,Occitanie,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,43.160458,3.171315,NA,NA,NA,NA,NA,NA,2005-01-12,12,1,2005,2481353,2481353,HUMAN_OBSERVATION,CLO,EBIRD,OBS96453222,,,NA,CC_BY_4_0,,obsr190359,NA,NA,2025-10-08T14:34:57Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5829184128,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/369966266,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,NA,SPECIES,"Fratercula arctica (Linnaeus, 1758)",Fratercula arctica,,FR,Sept Îles,Côtes-d'Armor (22),PRESENT,2,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,48.879195,-3.491592,32,NA,NA,NA,NA,NA,2024-06-23,23,6,2024,2481353,2481353,HUMAN_OBSERVATION,,,,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 1083062,NA,NA,2025-10-07T12:27:58Z,StillImage,
5828432541,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/312548315,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,NA,SPECIES,"Fratercula arctica (Linnaeus, 1758)",Fratercula arctica,,FR,,Bretagne,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,48.902431,-3.439709,244,NA,NA,NA,NA,NA,2021-06-19T10:03,19,6,2021,2481353,2481353,HUMAN_OBSERVATION,iNaturalist,Observations,312548315,,maxdufour,2025-09-08T21:36:59Z,CC_BY_NC_4_0,maxdufour,maxdufour,NA,NA,2025-10-08T21:43:01Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5828350163,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/313401886,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,NA,SPECIES,"Fratercula arctica (Linnaeus, 1758)",Fratercula arctica,,FR,,Bretagne,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,48.872042,-3.47453,1393,NA,NA,NA,NA,NA,2019-05-31T10:27,31,5,2019,2481353,2481353,HUMAN_OBSERVATION,iNaturalist,Observations,313401886,,Thomas Marchal,2025-09-12T20:06:07Z,CC_BY_NC_4_0,Thomas Marchal,Thomas Marchal,NA,NA,2025-10-09T00:36:31Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5827787058,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/311963075,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,NA,SPECIES,"Fratercula arctica (Linnaeus, 1758)",Fratercula arctica,,FR,,Bretagne,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,48.897843,-3.435996,24,NA,NA,NA,NA,NA,2025-06-21T15:00:41,21,6,2025,2481353,2481353,HUMAN_OBSERVATION,iNaturalist,Observations,311963075,,machalps,2025-09-06T16:57:26Z,CC_BY_NC_4_0,machalps,machalps,NA,NA,2025-10-08T23:13:02Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
