gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
665813900,41fc5c40-5e81-496f-9733-6b5681b3b7a5,4ae32ff2-f16f-432d-9977-aebdb9781693,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Uncia uncia (Schreber, 1775)",Uncia uncia,NA,IN,Maharashtra,Maharashtra,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,21.76667,82.900002,1892.53,NA,NA,NA,NA,NA,1933,NA,NA,1933,2435238,2435238,PRESERVED_SPECIMEN,FMNH,Mammals,41604,NA,,NA,CC0_1_0,The Field Museum of Natural History,J. L. Friesser,NA,NA,2025-10-07T22:31:28Z,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665813898,41fc5c40-5e81-496f-9733-6b5681b3b7a5,e6b1d22e-6908-4d89-b6dc-5d3a36f44842,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Uncia uncia (Schreber, 1775)",Uncia uncia,NA,IN,Maharashtra,Maharashtra,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,21.76667,82.900002,1892.53,NA,NA,NA,NA,NA,1933,NA,NA,1933,2435238,2435238,PRESERVED_SPECIMEN,FMNH,Mammals,41602,NA,,NA,CC0_1_0,The Field Museum of Natural History,J. L. Friesser,NA,NA,2025-10-07T22:31:45Z,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665813897,41fc5c40-5e81-496f-9733-6b5681b3b7a5,491f4327-3959-451c-acec-af8da551c899,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Uncia uncia (Schreber, 1775)",Uncia uncia,NA,IN,Maharashtra,Maharashtra,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,21.76667,82.900002,1892.53,NA,NA,NA,NA,NA,1933,NA,NA,1933,2435238,2435238,PRESERVED_SPECIMEN,FMNH,Mammals,41601,NA,,NA,CC0_1_0,The Field Museum of Natural History,J. L. Friesser,NA,NA,2025-10-07T22:31:45Z,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665813896,41fc5c40-5e81-496f-9733-6b5681b3b7a5,8af20be1-1014-47f8-a1b3-29be643c9e11,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Uncia uncia (Schreber, 1775)",Uncia uncia,NA,IN,Maharashtra,Maharashtra,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,21.76667,82.900002,1892.53,NA,NA,NA,NA,NA,1933,NA,NA,1933,2435238,2435238,PRESERVED_SPECIMEN,FMNH,Mammals,41600,NA,,NA,CC0_1_0,The Field Museum of Natural History,J. L. Friesser,NA,NA,2025-10-07T22:31:47Z,StillImage,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665813895,41fc5c40-5e81-496f-9733-6b5681b3b7a5,47d2f38e-7b7c-47d7-958c-b6cd92588975,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Uncia uncia (Schreber, 1775)",Uncia uncia,NA,IN,Maharashtra,Maharashtra,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,21.76667,82.900002,1892.53,NA,NA,NA,NA,NA,1933,NA,NA,1933,2435238,2435238,PRESERVED_SPECIMEN,FMNH,Mammals,41599,NA,,NA,CC0_1_0,The Field Museum of Natural History,J. L. Friesser,NA,NA,2025-10-07T22:31:54Z,StillImage,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665813894,41fc5c40-5e81-496f-9733-6b5681b3b7a5,790818d6-cd3f-458f-a7b4-c15a994fd4e2,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Uncia uncia (Schreber, 1775)",Uncia uncia,NA,IN,Maharashtra,Maharashtra,PRESENT,1,7b8aff00-a9f8-11d8-944b-b8a03c50a862,21.76667,82.900002,1892.53,NA,NA,NA,NA,NA,1933,NA,NA,1933,2435238,2435238,PRESERVED_SPECIMEN,FMNH,Mammals,41598,NA,,NA,CC0_1_0,The Field Museum of Natural History,J. L. Friesser,NA,NA,2025-10-07T22:31:40Z,StillImage,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5844579644,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/320875627,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,MN,,Hovd,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,47.576057,92.695931,26839,NA,NA,NA,NA,NA,2025-05-31T11:56,31,5,2025,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,320875627,NA,Attila Steiner,2025-10-14T16:43:44Z,CC_BY_NC_4_0,Attila Steiner,Attila Steiner,NA,NA,2025-10-20T20:39:51Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5844514020,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/320881271,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,MN,,Hovd,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,47.545357,92.773263,26839,NA,NA,NA,NA,NA,2025-06-01T04:27,1,6,2025,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,320881271,NA,Attila Steiner,2025-10-14T17:15:16Z,CC_BY_NC_4_0,Attila Steiner,Attila Steiner,NA,NA,2025-10-20T22:41:29Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5840347210,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/317730903,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,CN,,Sichuan,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,29.876899,99.607584,29433,NA,NA,NA,NA,NA,2019-05-03T05:16,3,5,2019,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,317730903,NA,Alexander Naumov,2025-09-30T09:54:51Z,CC_BY_4_0,Alexander Naumov,Alexander Naumov,NA,NA,2025-10-20T20:39:09Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5839910746,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/318403236,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,MN,,Bayanhongor,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.997175,100.329324,27253,NA,NA,NA,NA,NA,2022-08-17T07:33,17,8,2022,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,318403236,NA,Luc Claes,2025-10-03T14:05:38Z,CC_BY_NC_4_0,Luc Claes,Luc Claes,NA,NA,2025-10-20T20:39:52Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
